state0_sensors,action,state1_sensors,time
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:40:58.180564
"{'right': False, 'center': False, 'left': False}",forwardLeft,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:40:59.086994
"{'right': False, 'center': False, 'left': False}",forwardLeft,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:40:59.491338
"{'right': False, 'center': False, 'left': False}",forwardLeft,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:40:59.795026
"{'right': False, 'center': False, 'left': False}",forwardLeft,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:00.204991
"{'right': False, 'center': False, 'left': False}",forwardLeft,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:00.407828
"{'right': False, 'center': False, 'left': False}",forwardLeft,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:00.918297
"{'right': False, 'center': False, 'left': False}",forwardLeft,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:01.071780
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:04.941138
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:05.547274
"{'right': False, 'center': False, 'left': False}",forward,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:06.557857
"{'right': False, 'center': False, 'left': False}",forward,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:06.762103
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:07.319183
"{'right': False, 'center': False, 'left': False}",forwardLeft,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:07.976100
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:08.431572
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:08.846395
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:09.311982
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:09.538709
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:09.830881
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:10.028824
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:10.207463
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:10.439393
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:10.720235
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:11.020410
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:11.284978
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:11.816956
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:12.165838
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:13.179938
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:13.420432
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:13.851458
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:14.394084
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:14.796944
"{'right': False, 'center': False, 'left': False}",forward,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:15.227304
"{'right': False, 'center': False, 'left': False}",forward,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:17.344015
"{'right': False, 'center': False, 'left': False}",forward,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:17.642483
"{'right': False, 'center': False, 'left': False}",forward,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:18.467821
"{'right': False, 'center': False, 'left': False}",forward,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:18.715860
"{'right': False, 'center': False, 'left': False}",forward,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:19.036729
"{'right': False, 'center': False, 'left': False}",forwardLeft,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:19.320912
"{'right': False, 'center': False, 'left': False}",forwardLeft,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:21.233630
"{'right': False, 'center': False, 'left': False}",backward,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:21.847890
"{'right': False, 'center': False, 'left': False}",backward,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:23.602910
"{'right': False, 'center': False, 'left': False}",backward,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:24.167443
"{'right': False, 'center': False, 'left': False}",backward,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:24.660600
"{'right': False, 'center': False, 'left': False}",backward,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:24.930870
"{'right': False, 'center': False, 'left': False}",backward,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:25.370954
"{'right': False, 'center': False, 'left': False}",backward,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:26.124742
"{'right': False, 'center': False, 'left': False}",backward,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:26.325398
"{'right': False, 'center': False, 'left': False}",backward,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:26.706014
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:27.276678
"{'right': False, 'center': False, 'left': False}",forwardRight,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:28.580017
"{'right': False, 'center': False, 'left': False}",forwardLeft,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:29.703778
"{'right': False, 'center': False, 'left': False}",forwardLeft,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:30.381502
"{'right': False, 'center': False, 'left': False}",forwardLeft,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:30.797994
"{'right': False, 'center': False, 'left': False}",forwardLeft,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:31.308533
"{'right': False, 'center': False, 'left': False}",forwardLeft,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:31.807393
"{'right': False, 'center': False, 'left': False}",forwardLeft,"{'right': False, 'center': False, 'left': False}",2017-12-01 14:41:32.393158
