state0_sensors,state0_camera_c,action,time
"{'right': False, 'center': True, 'left': False}",images/img1.jpg,0,2018-03-08 11:51:10.533372
"{'right': False, 'center': False, 'left': False}",images/img2.jpg,0,2018-03-08 11:51:22.317353
"{'right': False, 'center': False, 'left': False}",images/img3.jpg,0,2018-03-08 11:51:29.442349
"{'right': False, 'center': False, 'left': False}",images/img4.jpg,0,2018-03-08 11:51:34.987066
"{'right': False, 'center': False, 'left': False}",images/img5.jpg,2,2018-03-08 11:51:41.176586
"{'right': False, 'center': False, 'left': False}",images/img6.jpg,2,2018-03-08 11:51:46.457419
"{'right': False, 'center': False, 'left': False}",images/img7.jpg,0,2018-03-08 11:51:58.403127
"{'right': False, 'center': True, 'left': False}",images/img8.jpg,2,2018-03-08 11:52:03.150660
"{'right': False, 'center': True, 'left': False}",images/img9.jpg,0,2018-03-08 11:52:09.429925
"{'right': False, 'center': False, 'left': False}",images/img10.jpg,2,2018-03-08 11:52:15.528431
"{'right': False, 'center': True, 'left': False}",images/img11.jpg,2,2018-03-08 11:52:19.070827
"{'right': False, 'center': False, 'left': False}",images/img12.jpg,2,2018-03-08 11:52:22.605163
"{'right': False, 'center': False, 'left': False}",images/img13.jpg,2,2018-03-08 11:52:33.722068
"{'right': False, 'center': False, 'left': False}",images/img14.jpg,0,2018-03-08 11:52:37.521257
"{'right': False, 'center': False, 'left': False}",images/img15.jpg,0,2018-03-08 11:52:39.613372
"{'right': False, 'center': False, 'left': False}",images/img16.jpg,0,2018-03-08 11:52:43.959881
"{'right': False, 'center': False, 'left': False}",images/img17.jpg,2,2018-03-08 11:52:48.079117
"{'right': False, 'center': False, 'left': False}",images/img18.jpg,2,2018-03-08 11:52:51.354786
"{'right': False, 'center': True, 'left': False}",images/img19.jpg,1,2018-03-08 11:52:56.345132
"{'right': False, 'center': False, 'left': False}",images/img20.jpg,0,2018-03-08 11:53:00.613824
"{'right': False, 'center': False, 'left': False}",images/img21.jpg,2,2018-03-08 11:53:12.299830
"{'right': False, 'center': False, 'left': False}",images/img22.jpg,2,2018-03-08 11:53:20.561791
"{'right': False, 'center': True, 'left': False}",images/img23.jpg,0,2018-03-08 11:53:28.336528
"{'right': False, 'center': True, 'left': False}",images/img24.jpg,2,2018-03-08 11:53:32.529622
"{'right': False, 'center': False, 'left': False}",images/img25.jpg,2,2018-03-08 11:53:37.394064
"{'right': False, 'center': False, 'left': False}",images/img26.jpg,0,2018-03-08 11:53:41.800478
"{'right': False, 'center': False, 'left': False}",images/img27.jpg,2,2018-03-08 11:53:45.960304
"{'right': False, 'center': False, 'left': False}",images/img28.jpg,2,2018-03-08 11:53:50.224867
"{'right': False, 'center': False, 'left': False}",images/img29.jpg,2,2018-03-08 11:53:55.657180
"{'right': False, 'center': False, 'left': False}",images/img30.jpg,0,2018-03-08 11:54:03.681496
