state0_sensors,state0_camera_c,action,time
"{'right': False, 'center': False, 'left': False}",images/img1.jpg,0,2018-03-09 11:22:46.967113
"{'right': False, 'center': False, 'left': False}",images/img2.jpg,0,2018-03-09 11:22:50.727382
"{'right': False, 'center': False, 'left': False}",images/img3.jpg,0,2018-03-09 11:22:51.693896
"{'right': False, 'center': False, 'left': False}",images/img4.jpg,0,2018-03-09 11:22:52.506187
"{'right': False, 'center': False, 'left': False}",images/img5.jpg,0,2018-03-09 11:22:53.295172
"{'right': False, 'center': False, 'left': False}",images/img6.jpg,0,2018-03-09 11:22:54.172169
"{'right': False, 'center': False, 'left': False}",images/img7.jpg,0,2018-03-09 11:22:54.961695
"{'right': False, 'center': False, 'left': False}",images/img8.jpg,0,2018-03-09 11:22:55.725681
"{'right': False, 'center': False, 'left': False}",images/img9.jpg,0,2018-03-09 11:22:56.532883
"{'right': False, 'center': False, 'left': False}",images/img10.jpg,0,2018-03-09 11:22:57.321325
"{'right': False, 'center': False, 'left': False}",images/img11.jpg,0,2018-03-09 11:22:58.117781
"{'right': False, 'center': False, 'left': False}",images/img12.jpg,0,2018-03-09 11:22:58.978589
"{'right': False, 'center': False, 'left': False}",images/img13.jpg,0,2018-03-09 11:22:59.791594
"{'right': False, 'center': False, 'left': False}",images/img14.jpg,0,2018-03-09 11:23:00.634075
"{'right': False, 'center': False, 'left': False}",images/img15.jpg,0,2018-03-09 11:23:03.625662
"{'right': False, 'center': False, 'left': False}",images/img16.jpg,0,2018-03-09 11:23:04.286058
"{'right': False, 'center': False, 'left': False}",images/img17.jpg,0,2018-03-09 11:23:05.092263
"{'right': False, 'center': False, 'left': False}",images/img18.jpg,0,2018-03-09 11:23:05.824439
"{'right': False, 'center': False, 'left': False}",images/img19.jpg,0,2018-03-09 11:23:06.607938
"{'right': False, 'center': False, 'left': True}",images/img20.jpg,0,2018-03-09 11:23:07.790026
"{'right': False, 'center': False, 'left': False}",images/img21.jpg,0,2018-03-09 11:23:09.442562
